degree, numerator, denominator exponent
341, -1666949386567403746778209425844841812060608234703064991659992975218816727025927909590889515031661868557624642477960203027964194818758450188390282736181926268838439690613382224765077666064619730802571657, 679
342, -1912291418827906275164783106295620788830216326358996406199217055, 225
343, -35521168571959677523232977860120920026884868149171443767223200618542931927616686655836615870686464226121570853947386307766784793718272633951499959962275303918952646397921766842516010421398893795790549465, 684
344, -23070186645, 45
345, 264241241264658357745290843384680168886719362776236405808862956146432119233269088113788813426238831194303034976836518638652253575070184340135358697763605673731040911318083360618213485855669415725999071067, 687
346, -12086174865832623242334413025680587881577369380807514428093845361, 226
347, 2485117729258187384152189299944402872499992443813414323956228172517151684465908490343353519227726400732269116712491547313586820929251999637064263472140412205945417871251763423809484282681220961972042588027, 691
348, 26006151999538114056308341, 95
349, 13876126009931384089157827000839190018887513738077399596774389741327069898740323175873507289943421061540846309589041199955716814704238118064162080888928752978839814854367879774565870115701367949028535918601, 694
350, -10651363377129077585416679426948843354890993522227003106875685671, 230
351, -73501283805003400607794992876067245192598332477970537716692548469216284020217216983213702105985140016571049940468869668001047965985799652560688441642187223895471341015277585599180262071610460709667214715359, 701
352, 0, 0
353, 2353943882756143362634607035751349438908093911576484590212387673039261634365430962199959027961454950272825610652028367135445767237053314910022425516395988179255658592993119646467501600711413295282058644095505, 704
354, 650696223641920034717047592506273056736901869951897457264938557077, 232
355, 72618530035405051897774501633709264261514929916055521076141470373842448608444767872271738369167495604252035249844239660700482987414407579119801990475943099246329979578598813737663565802396048069359140840864183, 708
356, -161382580629061627560376171, 100
357, -2081608099571960715288948673323499276560561598031098168199672542976578484633915125610710761142118654790741427643126638951337342413864655041724817289804749824185570608535159256354563625478406659790341900603096263, 711
358, 369075079552510360897464320923082788373636514826445916885875148111, 232
359, -91782328908332190745710870198581148445340780630482856863524762717628142681221653264212355183962345496802027259918363575395628232832811238394900876459023653001893473465789256442933451480311544274154880128968964193, 716
360, 27587249911, 47
361, 325157988527816761772528231147137448437772860483639225482604835142837199559649250688408518703965848465096963141192181508026225447645152127554931236355030846888463103289468745493961128740790587310251659736184448907, 719
362, -23921458001512043343326664673647421498688874840191587710005436377315, 238
363, 38748512400717342969950160758619212995983797401547748347988094915742086288064656142425195515573287875330761194652123733152406068993675309156318551263681528181767025867208850982698967404322323022637051270917319535191, 723
364, -970825061617724165852580823, 102
365, -100220284616290852833901927446898955730742225823044197033821929407677394509815093698055140938467484930823375531833902059969775999249905971190737028392192921694515625984195538997015373734187510629694855209825242911595, 726
366, 234142116204472727421748147717709361297039937337878886125322772458161, 240
367, -3010248481737419291868559049085351453597160890378469244791468603468102089731336337702311481799477782115140816059478546422417687014668786676114475054550206334621332399816016338606998333306825854885498187067225466845351, 732
368, 0, 0
369, 26698160611893315340721476900441618764134985102657312566477080263708018969764016439503044567015376312564359018412732281445112975403780869570761567234649205625915428728764231827844392536570682871594961179396757169006769, 735
370, 107677074561035094649860510104037282500573333358565032520342752176063, 241
371, -2136633639223609782532267838243570714310916513942527737501190209399378099260367099025147224419888397321874220163671918590780381908879347211467380382353198517724639522293941346052872460399999146694990519259026309090688709, 739
372, -5302437327979352662461679647, 104
373, -299312027067186682375514779097843207824339713028598737907669355238543408192083532524017423166180317943283577099516514066043801369877961360624361733406936437302188007282273713693309824304073099814359340576813756119641875, 742
374, -30475359921402709021998448736565505111289915707930301928051553542109213, 245
375, 77341086665735220006466391739845575130657364206958338487107706800436662031916049403326657816641287896070369428258584288930667321096060770887925363857619564742829446622681060627912656648065035140205406257159495143848763089, 747
376, 45882485961, 49
377, -4953151059708640654760438916997217307656414106383120081160715991132267953938529354235080116336704236449531381461710232232366706193326785128842129450375351127334445387139379216733230776627733880803881018141428550809861830003, 750
378, 37194034504436102411803215350539465949987172963923043190663150016397555, 247
379, 4002039742191735817626384777118437437613349712252196706802715674025020679321749572326300468523466353355012766474431914463913796763031925917107928194151257781768530376896091141918135379495875688085032453764640532876382671477, 754
380, -83851068905290504296441011055, 106
381, 191911475103266539726985528233695464685389822054998253627780388438190663023907287928589078135212369745566828137294431114399274730688316654683217509758555848018063693122314250377279847672390387166274690533962759009480813170007, 757
382, 136177798367452854592504082981371060317939385878395944127313005323356069, 247
383, 1448365272083751657475876674378544794076062808026364228794147082016971916747698256025676861387047089338258919769587473842645123130392579874546021315179599860089976843677589547227188334829934518461154265592524728430647904060487, 766
384, 0, 0
385, 430655877811466925534040853093123763395075206170378259172089019838371258748151133032416059071835891743575850011688294790759890689526576089577498136367542182633711028602340414327920131510259562694172812973690622588951306238943367, 769
386, -65928442234806254596946706212410172729636527274560410680365732351050324707, 257
387, -16067629109267683727009269940363040881681235243428304332306857436706527587607272313443522753116071458615236003240103399400476918861882562404270058921657343749168077638116898872457420245230020301861846864610047494173233546036693495, 773
388, 64426222156538619111602464327, 107
389, 31057184899591934460237213628019249764455642439562262468281229122199703077798285768309127359819190665573997856816878272045128063929270012880913522861726645153200744006084044788733976748247200088363974970920647055264399891619921623, 776
390, 114812359567338168886585413327026645717906880820421739518573607991048676957, 259
391, -694629068624696527907614552656597446675811039697623243814675531530976089975976341202475450636821248746673104925055890165662689211174011196285758634546522822709132871134007416184234262956696768316738431816233230804502629011609547411, 781
392, -1024968868953, 51
393, 51223256356271491433403573134456127122713202500703543625951012950826364313721316409106249600116723125976879544958407684068990600746153732583195542047064742641378901152219064913615687546010162426460295423836006008544760792654935540353, 784
394, 42479008683222073891794971312106929475465700565791012809631222527209650467, 260
395, -840793612156342135635857413109242519005491257381419835388028449325530118423224229593494221300870327519068520177787180511169846783809737364241460705499906032731242484686601414406906757882235992811265960443574756959532297814439463966387, 788
396, 168246733449369952591348559207, 108
397, 2384513036080869953157830176526625735145058610878027659297829627528658088162553929415573087844398917493055456692690971867723407166308057505053916783916940250090379042391736951564237153264240165656760741710901223876230574793209840519335, 791
398, -4759012401280233838723936670774360305367516006036365031964334567795078206591, 264
399, 30885295957484376074342226946275208798272556449647412745498182760296686287155670193283157456456411526463539348446977979569325045829486713244285690574987578982617547139301392104536327968788284937795818613155625121169047349091350045975325, 797
400, 0, 0
401, -1194412709169030344444944871236075211905623088552363079500728887455170705178621868216860102791334386530719965701878988660309860309697310613714562249676837338847944053091402111932151712177377885443731956124584478004126254153512836519031707, 800
402, -57245052651889172723341911842975184390591389048385457344414244777377602270987, 266
403, 24479984287091540461403647797720934987130903110487146694004609819574580405175085454235145842419734604833685995873985871339828028755750911905540629743600093924452212595047367030107863438237987544724448045961848661079403893149514770578482175, 804
404, -9854019478449467813503622215, 107
405, -371263457565149178473653078398602285918660209473106551845664195818838966933394278382424335137094045732292181123285136151096540259642882989317100369473617973164206988644616616562225475307060271644070606669142237690247729278978089144637907015, 807
406, -16877903687534364260840824280752119733457788978351878390472129263919045319913, 266
407, -6062175139090694189031059913400119507507586731018557455926966998687213779138752969786526510950305801863220083297110655198671559100474309993146954558426109320930833270956278318932595777930640035825972883734510411957527566240426794725169288783, 812
408, 299081678903, 53
409, -5672593369480215853625353095504280298602413633017493197237283689475910242552836641450991779688418775358667470553991300452703237166704830574785601142811407424349681358452159799690594340360201193840212866238308196701946353505005130046849553347, 815
410, 1326770915325983898904542144702630914012315238554925671795848917596410971236387, 272
411, 61840012361919312546027033752171716481571053888060083278505297982142383890669549610233394778476149920529136220958808802347025032649537888832400341117875716741500489916660616613001178892600010301572082385603411485144632209661296290987450907309, 819
412, 15094839423092069656777960476035, 115
413, 11064322083062071573671383882608490728337666528681644320210881509190886410346002529109047288686759367032295012025234475976719920024908436459024208531213808298020751683456112072350174658507167849429650340209881994365126185741348243757003808384719, 822
414, -8991312473274116081205428315054496836427321835725403781429558784167598680821721, 274
415, 213332935090320828143468986521073487674711323680455009495849194149634696694816624762257474566994174039849413399903751950788992387285591561403302193768792091432283150853874030159071256618488501869772868479333588019727382863691082612254944806407697, 829
416, 0, 0
417, -4071475915364050110943341088583402904569486487158675183592719574510527094501567781165463223110372294468862841754456234444454723482765182097632664272654188904218892446510483617544686025309132590102350097037236798061490829909019052633804711871561055, 832
418, 13731259837192033228712175502374568411821518649289235693369396204918051689461273, 275
419, 10334597773441534290825578839155209519786584694610635749501548664441101830849556731256225164615925718172902925364477217644378301867218493049654767871706570595043891523089732398379463815144732626089687051781970957944985811676925963794315835970363511, 836
420, -11296281798009108860032444222781, 117
421, -486336169688266492508644056307692916585795164315037319765901819032172707887824474185510659150712818140545859915839310306615216796230463052791060202181025060540510338054370372090405763042852982857216144028132910577798098134451107406571013636097152295, 839
422, -125874024898430971788504841676636294984622203446744731884055409599815461952300919, 279
423, 26666998203026542626854773685532618497596440093699162126027475124673824623227084018684162213944808444157254561675128984947135485354467614557828512380534629908720424365591457763403172826642240195384095943602710905577525572440635583875683093445928908967, 844
424, 6426308553075, 55
425, 37552972145791325744238225970114096600375999467497496726695803161315365989219006231027954725246649667709476762041664355951328565180672327486926821872965525530803412879792369578017455922156258819637441834368114425930027734669437994434378742412657392531, 847
426, -469890057021415409693986953039455755744350259309735036767740073639788502801932815, 281
427, 6387595306325127379224864923171972056364573974831965528517135819766828426795520192756875532818580471189770995680275393459060580608336065792988458261455300831551946111664331757902233275764282277420217319633270773734770921906942379822772848185552035103087, 851
428, 36522559027274823335839752407599, 119
429, -45858561055528285571264913222497083638515011290483040595698365896045287198134137637242429635227465106959969046035668550178651412487314761652747317205692699772347135113394921267423649016634388782425833277320490067642994929959378346634748009473768097763651, 854
